%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1580139867440376282,5806,1580139867437696933,/fgps,1,10,45.6222640512,9.28161220097,223.899411939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139867531339341,5807,1580139867531913042,/fgps,1,9,45.6222725002,9.28161310061,223.879558264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139867628284207,5808,1580139867632924079,/fgps,1,9,45.6222808927,9.28161393777,223.88991761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139867731457441,5809,1580139867734167098,/fgps,1,9,45.6222893179,9.28161483087,223.905763961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139867837614129,5810,1580139867839449882,/fgps,1,9,45.6222977206,9.28161572755,223.918401035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139867930078865,5811,1580139867932687044,/fgps,1,9,45.6223061253,9.28161651639,223.920562364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139868052598919,5812,1580139868052845001,/fgps,1,9,45.622314371,9.28161717239,223.93579563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139868131411917,5813,1580139868132064104,/fgps,1,9,45.6223226432,9.2816179479,223.947709759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139868228549361,5814,1580139868233844041,/fgps,1,10,45.622330988,9.28161891893,223.878381615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139868331028041,5815,1580139868331605911,/fgps,1,11,45.6223392289,9.28161992414,223.846318373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139868424769622,5816,1580139868427436113,/fgps,1,11,45.6223473549,9.28162092993,223.824983698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139868531874455,5817,1580139868534262895,/fgps,1,11,45.622355551,9.28162183155,223.821658034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139868630550271,5818,1580139868629225015,/fgps,1,11,45.6223637014,9.28162269389,223.816669962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139868723944821,5819,1580139868728281974,/fgps,1,11,45.6223716785,9.28162350853,223.821173317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139868827630357,5820,1580139868824255943,/fgps,1,11,45.6223795961,9.28162431751,223.815570498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139868930709844,5821,1580139868929281949,/fgps,1,11,45.6223873962,9.281624991,223.826363462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139869033926786,5822,1580139869034126043,/fgps,1,10,45.6223950969,9.2816257218,223.813585127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139869130674007,5823,1580139869128531932,/fgps,1,10,45.6224027097,9.28162645615,223.782256361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139869233919734,5824,1580139869234461069,/fgps,1,10,45.6224100192,9.28162731778,223.851836286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139869333893410,5825,1580139869336266994,/fgps,1,10,45.6224172573,9.28162837983,223.879990039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139869430777405,5826,1580139869433413028,/fgps,1,12,45.6224245114,9.2816290775,223.932179438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139869529773474,5827,1580139869533272981,/fgps,1,12,45.6224316513,9.28162977698,224.012017952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139869636547031,5828,1580139869636260986,/fgps,1,12,45.6224387563,9.28163035886,224.092074068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139869731694646,5829,1580139869735527038,/fgps,1,12,45.6224458143,9.28163091502,224.171999839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139869836830782,5830,1580139869837477922,/fgps,1,12,45.6224528774,9.28163149259,224.23231635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139869930691390,5831,1580139869933407068,/fgps,1,12,45.622459923,9.28163207556,224.296949624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139870052132521,5832,1580139870051870107,/fgps,1,12,45.6224669544,9.28163267992,224.363994098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139870134029641,5833,1580139870134161949,/fgps,1,12,45.6224737909,9.28163316565,224.430067154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139870234053426,5834,1580139870235025882,/fgps,1,12,45.6224805705,9.28163364899,224.476293456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139870331043312,5835,1580139870333178043,/fgps,1,12,45.6224872428,9.28163427771,224.531955403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139870428147182,5836,1580139870429231882,/fgps,1,12,45.6224938036,9.28163509225,224.605439796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139870528284970,5837,1580139870528633117,/fgps,1,12,45.6225001123,9.28163603632,224.672851251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139870637269745,5838,1580139870634612083,/fgps,1,12,45.6225063561,9.28163689907,224.754159925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139870731783649,5839,1580139870734090089,/fgps,1,12,45.622512545,9.28163768003,224.808312689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139870837143055,5840,1580139870837498903,/fgps,1,12,45.6225187023,9.2816383608,224.867740278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139870937038839,5841,1580139870936654090,/fgps,1,12,45.6225248614,9.28163913802,224.910864466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139871040035460,5842,1580139871036451101,/fgps,1,12,45.6225309033,9.2816398346,224.94959221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139871133890813,5843,1580139871133779048,/fgps,1,12,45.622536842,9.28164058527,224.992745325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139871240242183,5844,1580139871237628936,/fgps,1,12,45.6225426976,9.28164128854,225.038429991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139871328217757,5845,1580139871329713106,/fgps,1,12,45.622548459,9.28164186634,225.088619829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139871434412324,5846,1580139871436691999,/fgps,1,14,45.6225535372,9.28164163981,225.24946891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139871528332319,5847,1580139871529761075,/fgps,1,14,45.6225585008,9.2816414238,225.42182192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139871628378196,5848,1580139871629175901,/fgps,1,14,45.6225634418,9.28164128371,225.57247143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139871731408457,5849,1580139871729727029,/fgps,1,13,45.6225683662,9.28164121566,225.682160459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139871822729345,5850,1580139871827110052,/fgps,1,13,45.6225731738,9.28164110945,225.787286702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139871928646425,5851,1580139871929389953,/fgps,1,13,45.6225778575,9.2816409443,225.900131804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139872052936937,5852,1580139872054299116,/fgps,1,13,45.6225825379,9.28164100828,225.993559695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139872128698933,5853,1580139872129403114,/fgps,1,13,45.6225871218,9.28164124982,226.063346154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139872234792992,5854,1580139872235867977,/fgps,1,13,45.6225915903,9.28164167597,226.126825546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139872328774179,5855,1580139872329960107,/fgps,1,13,45.6225960501,9.28164222364,226.194530017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139872431807380,5856,1580139872432455062,/fgps,1,13,45.6226003794,9.28164270228,226.254118504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139872528754988,5857,1580139872531266927,/fgps,1,13,45.6226045714,9.2816431278,226.307748621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139872631955822,5858,1580139872628720998,/fgps,1,13,45.622608719,9.28164342619,226.3770871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139872734878704,5859,1580139872734376907,/fgps,1,13,45.6226127564,9.28164374839,226.439520185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139872832049982,5860,1580139872833584070,/fgps,1,13,45.6226167181,9.28164417365,226.481336353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139872929091743,5861,1580139872929934978,/fgps,1,13,45.6226205708,9.28164452184,226.537794491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139873032073482,5862,1580139873031969070,/fgps,1,13,45.6226243188,9.28164484899,226.592923796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139873129136110,5863,1580139873130971908,/fgps,1,13,45.622628007,9.28164517812,226.657386732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139873238245612,5864,1580139873236043930,/fgps,1,13,45.6226315857,9.28164547075,226.721335161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139873335316090,5865,1580139873336743116,/fgps,1,13,45.6226351063,9.2816457301,226.778583357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139873432298154,5866,1580139873432816028,/fgps,1,13,45.6226385672,9.28164603019,226.83992917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139873532382549,5867,1580139873534584999,/fgps,1,13,45.6226419522,9.28164623406,226.896066556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139873629396324,5868,1580139873629367113,/fgps,1,13,45.6226453633,9.28164650833,226.940389125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139873729463799,5869,1580139873731535911,/fgps,1,13,45.6226486331,9.28164675688,226.978072229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139873828571517,5870,1580139873827048063,/fgps,1,13,45.6226518093,9.28164699506,227.02822322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139873930040870,5871,1580139873930131912,/fgps,1,13,45.622654957,9.28164729248,227.060025512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139874050960393,5872,1580139874048357009,/fgps,1,13,45.6226579906,9.2816475377,227.090661879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139874129789445,5873,1580139874129364013,/fgps,1,13,45.622660899,9.28164779764,227.115662781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139874229759129,5874,1580139874229532957,/fgps,1,13,45.6226636177,9.28164794148,227.159101166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139874329776158,5875,1580139874331970930,/fgps,1,13,45.6226662826,9.28164812686,227.195130093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139874426945847,5876,1580139874430285930,/fgps,1,13,45.6226688523,9.28164836894,227.222332494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139874531367704,5877,1580139874533746957,/fgps,1,14,45.6226712078,9.28164854474,227.281946751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139874630470988,5878,1580139874631789922,/fgps,1,14,45.62267356,9.28164871149,227.324880579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139874730548036,5879,1580139874730655908,/fgps,1,14,45.6226758361,9.28164887081,227.357216119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139874827727309,5880,1580139874828020095,/fgps,1,14,45.6226780624,9.28164904213,227.387324912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139874930887407,5881,1580139874933068037,/fgps,1,14,45.6226802065,9.2816492213,227.416732172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139875031016169,5882,1580139875032695055,/fgps,1,14,45.6226822669,9.28164944712,227.448713696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139875134057126,5883,1580139875130135059,/fgps,1,14,45.622684211,9.28164958753,227.461629934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139875228182751,5884,1580139875229373931,/fgps,1,14,45.6226860654,9.281649759,227.491753776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139875331467213,5885,1580139875330868959,/fgps,1,14,45.6226878855,9.28164995962,227.497719133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139875430223333,5886,1580139875433459997,/fgps,1,14,45.6226894934,9.28165012447,227.505985877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139875528961068,5887,1580139875529896974,/fgps,1,13,45.6226909162,9.281650228,227.533250512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139875631979997,5888,1580139875631915092,/fgps,1,13,45.6226921328,9.28165030094,227.553059166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139875731897417,5889,1580139875732007026,/fgps,1,13,45.6226932791,9.28165032654,227.567720826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139875835305156,5890,1580139875836050987,/fgps,1,13,45.6226942762,9.28165030405,227.582557358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139875932380340,5891,1580139875929593086,/fgps,1,13,45.6226951355,9.28165029918,227.600612834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139876050715775,5892,1580139876047764062,/fgps,1,13,45.6226957857,9.28165023687,227.614165389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1580139876132643163,5893,1580139876132678031,/fgps,1,13,45.6226963052,9.28165017542,227.618340778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
